client_id,industry,client_name,registration_date,contract_fee_pm
avsm1010002,Engineering,BuildMatrix Engineering,1/20/2020," R 5,000.00 "
avsm1010007,Engineering,InnovateVision Engineering,3/11/2020," R 2,800.00 "
avsm1010008,Agriculture,GrowPulse Nurseries,4/4/2020," R 3,800.00 "
avsm1010012,Safety and Security,SecureNexus Management,4/30/2020," R 5,000.00 "
avsm1010022,Business Management,StratVision Partners,9/26/2020," R 4,000.00 "
avsm1010024,Safety and Security,DefenseFlow Security,1/10/2021," R 5,500.00 "
avsm1010026,Agriculture,YieldFlow Systems,2/8/2021," R 2,100.00 "
avsm1010029,Logistics,TransitCore Transport,2/18/2021," R 5,100.00 "
avsm1010047,Logistics,TrackForge AI,7/21/2021," R 3,000.00 "
avsm1010051,Food and Beverage,ChefPulse Foods,9/23/2021," R 5,700.00 "
avsm1010052,Business Management,BoardVision Partners,10/2/2021," R 2,500.00 "
avsm1010054,Safety and Security,SecureMatrix Management,10/10/2021," R 3,900.00 "
avsm1010056,Agriculture,CropSphere Solutions,10/12/2021," R 3,400.00 "
avsm1010067,Engineering,MechSphere Solutions,4/19/2022," R 2,700.00 "
avsm1010074,Agriculture,FieldVision Corp,9/9/2022," R 5,600.00 "
avsm1010086,Agriculture,TerraLink Cultivation,3/19/2023," R 4,000.00 "
